Series,Surface,Round,dj_pts,dj_rank,dj_odds,opp_pts,opp_rank,opp_odds,dj_win,age,is_outdoor,is_five_sets,5SMA
Masters Cup,Hard,Round Robin,7910,3,1.4,3630,7,3.0,1,22,0,0,0.8
Masters Cup,Hard,Round Robin,7910,3,1.4,3010,9,3.0,0,22,0,0,1.0
Masters Cup,Hard,Round Robin,7910,3,1.4,9205,2,2.87,1,22,0,0,1.0
Grand Slam,Hard,1st Round,8310,3,1.01,613,74,15.0,1,23,1,1,0.8
Grand Slam,Hard,2nd Round,8310,3,1.02,775,58,12.0,1,23,1,1,0.8
Grand Slam,Hard,3rd Round,8310,3,1.01,515,103,15.0,1,23,1,1,0.8
Grand Slam,Hard,4th Round,8310,3,1.01,573,86,13.0,1,23,1,1,0.8
Grand Slam,Hard,Quarterfinals,8310,3,1.4,2875,10,3.0,0,23,1,1,0.8
ATP500,Hard,2nd Round,8310,2,1.05,781,54,9.0,1,23,0,0,1.0
ATP500,Hard,Semifinals,8310,2,1.14,1770,20,5.0,0,23,0,0,0.8
ATP500,Hard,1st Round,8310,2,1.03,894,47,11.0,1,23,1,0,0.8
ATP500,Hard,2nd Round,8310,2,1.08,1110,35,7.0,1,23,1,0,0.6
ATP500,Hard,Quarterfinals,8310,2,1.14,1450,26,5.0,1,23,1,0,0.6
