Series,Surface,Round,dj_pts,dj_rank,opp_pts,opp_rank,dj_win,age,is_outdoor,is_five_sets,5SMA
Masters Cup,Hard,Round Robin,7910,3,3630,7,1,22,0,0,0.8
Masters Cup,Hard,Round Robin,7910,3,3010,9,0,22,0,0,1.0
Masters Cup,Hard,Round Robin,7910,3,9205,2,1,22,0,0,1.0
Grand Slam,Hard,1st Round,8310,3,613,74,1,23,1,1,0.8
Grand Slam,Hard,2nd Round,8310,3,775,58,1,23,1,1,0.8
Grand Slam,Hard,3rd Round,8310,3,515,103,1,23,1,1,0.8
Grand Slam,Hard,4th Round,8310,3,573,86,1,23,1,1,0.8
Grand Slam,Hard,Quarterfinals,8310,3,2875,10,0,23,1,1,0.8
ATP500,Hard,2nd Round,8310,2,781,54,1,23,0,0,1.0
ATP500,Hard,Semifinals,8310,2,1770,20,0,23,0,0,0.8
ATP500,Hard,1st Round,8310,2,894,47,1,23,1,0,0.8
ATP500,Hard,2nd Round,8310,2,1110,35,1,23,1,0,0.6
ATP500,Hard,Quarterfinals,8310,2,1450,26,1,23,1,0,0.6
ATP500,Hard,Semifinals,8310,2,1100,37,1,23,1,0,0.6
ATP500,Hard,The Final,8310,2,1975,15,1,23,1,0,0.8
Masters 1000,Hard,2nd Round,8310,2,490,106,1,23,1,0,0.8
Masters 1000,Hard,3rd Round,8310,2,1275,31,1,23,1,0,1.0
Masters 1000,Hard,4th Round,8310,2,1520,26,0,23,1,0,1.0
Masters 1000,Hard,2nd Round,8220,2,754,59,0,23,1,0,1.0
Masters 1000,Clay,2nd Round,7630,2,710,67,1,23,1,0,0.8
Masters 1000,Clay,3rd Round,7630,2,1780,20,1,23,1,0,0.6
Masters 1000,Clay,Quarterfinals,7630,2,335,151,1,23,1,0,0.6
Masters 1000,Clay,Semifinals,7630,2,2725,12,0,23,1,0,0.6
Masters 1000,Clay,2nd Round,7390,2,920,46,1,23,1,0,0.6
Masters 1000,Clay,3rd Round,7390,2,1402,28,1,23,1,0,0.6
Masters 1000,Clay,Quarterfinals,7390,2,3555,9,0,23,1,0,0.8
ATP250,Clay,2nd Round,6970,2,630,80,1,23,1,0,0.8
Grand Slam,Clay,1st Round,6405,3,655,73,1,23,1,1,0.6
Grand Slam,Clay,2nd Round,6405,3,190,246,1,23,1,1,0.6
Grand Slam,Clay,3rd Round,6405,3,1160,37,1,23,1,1,0.8
Grand Slam,Clay,4th Round,6405,3,538,98,1,23,1,1,0.8
Grand Slam,Clay,Quarterfinals,6405,3,1495,27,0,23,1,1,0.8
ATP250,Grass,2nd Round,6675,3,560,96,1,23,1,0,1.0
ATP250,Grass,3rd Round,6675,3,649,74,0,23,1,0,0.8
Grand Slam,Grass,1st Round,6545,3,730,68,1,23,1,1,0.8
Grand Slam,Grass,2nd Round,6545,3,551,97,1,23,1,1,0.6
Grand Slam,Grass,3rd Round,6545,3,1405,31,1,23,1,1,0.6
Grand Slam,Grass,4th Round,6545,3,1565,26,1,23,1,1,0.6
Grand Slam,Grass,Quarterfinals,6545,3,626,82,1,23,1,1,0.8
Grand Slam,Grass,Semifinals,6545,3,2825,13,0,23,1,1,0.8
Masters 1000,Hard,2nd Round,6905,2,1229,33,1,23,1,0,1.0
Masters 1000,Hard,3rd Round,6905,2,870,54,1,23,1,0,0.8
Masters 1000,Hard,Quarterfinals,6905,2,695,72,1,23,1,0,0.8
Masters 1000,Hard,Semifinals,6905,2,6795,3,0,23,1,0,0.8
Masters 1000,Hard,2nd Round,7085,3,945,47,1,23,1,0,0.8
Masters 1000,Hard,3rd Round,7085,3,1145,37,1,23,1,0,0.6
Masters 1000,Hard,Quarterfinals,7085,3,2875,13,0,23,1,0,0.8
Grand Slam,Hard,1st Round,6665,3,980,47,1,23,1,1,0.8
Grand Slam,Hard,2nd Round,6665,3,910,52,1,23,1,1,0.6
Grand Slam,Hard,3rd Round,6665,3,495,108,1,23,1,1,0.6
Grand Slam,Hard,4th Round,6665,3,1751,21,1,23,1,1,0.8
Grand Slam,Hard,Quarterfinals,6665,3,2070,19,1,23,1,1,0.8
Grand Slam,Hard,Semifinals,6665,3,7215,2,1,23,1,1,0.8
Grand Slam,Hard,The Final,6665,3,10745,1,0,23,1,1,1.0
ATP500,Hard,1st Round,7145,2,111,356,1,23,1,0,1.0
ATP500,Hard,Quarterfinals,7145,2,1055,43,1,23,1,0,0.8
ATP500,Hard,Semifinals,7145,2,1715,22,1,23,1,0,0.8
ATP500,Hard,The Final,7145,2,3135,11,1,23,1,0,0.8
Masters 1000,Hard,2nd Round,7145,2,2190,17,1,23,1,0,0.8
Masters 1000,Hard,3rd Round,7145,2,1305,31,1,23,1,0,0.8
Masters 1000,Hard,Quarterfinals,7145,2,1175,35,1,23,1,0,1.0
Masters 1000,Hard,Semifinals,7145,2,6735,3,0,23,1,0,1.0
ATP500,Hard,1st Round,7145,3,1415,26,1,23,0,0,1.0
ATP500,Hard,2nd Round,7145,3,1070,41,1,23,0,0,0.8
ATP500,Hard,Quarterfinals,7145,3,743,66,1,23,0,0,0.8
ATP500,Hard,Semifinals,7145,3,1225,32,1,23,0,0,0.8
ATP500,Hard,The Final,7145,3,7495,2,0,23,0,0,0.8
Masters 1000,Hard,2nd Round,6945,3,1480,24,1,23,0,0,0.8
Masters 1000,Hard,3rd Round,6945,3,1215,34,0,23,0,0,0.8
Masters Cup,Hard,Round Robin,5635,3,3755,6,1,23,0,0,0.8
Masters Cup,Hard,Round Robin,5635,3,11450,1,0,23,0,0,0.6
Masters Cup,Hard,Round Robin,5635,3,3665,8,1,23,0,0,0.6
Masters Cup,Hard,Semifinals,5635,3,7645,2,0,23,0,0,0.4
Grand Slam,Hard,1st Round,6240,3,993,42,1,24,1,1,0.6
