Date,Series,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1,Rank_2,Pts_1,Pts_2,Odd_1,Odd_2
2008-04-25,Masters,Outdoor,Clay,Quarterfinals,3,Djokovic N.,Querrey S.,Djokovic N.,3,50,4725,710,1.05,10.0
2008-05-07,Masters,Outdoor,Clay,2nd Round,3,Darcis S.,Djokovic N.,Djokovic N.,49,3,713,4935,7.5,1.07
2008-05-08,Masters,Outdoor,Clay,3rd Round,3,Djokovic N.,Andreev I.,Djokovic N.,3,26,4935,1155,1.14,5.0
2008-05-11,Masters,Outdoor,Clay,The Final,3,Djokovic N.,Wawrinka S.,Djokovic N.,3,24,4935,1090,1.25,4.0
2008-05-14,Masters,Outdoor,Clay,2nd Round,3,Chela J.I.,Djokovic N.,Djokovic N.,39,3,805,5125,5.5,1.12
2008-05-15,Masters,Outdoor,Clay,3rd Round,3,Karlovic I.,Djokovic N.,Djokovic N.,24,3,1265,5125,6.5,1.1
2008-05-16,Masters,Outdoor,Clay,Quarterfinals,3,Montanes A.,Djokovic N.,Djokovic N.,78,3,511,5125,8.0,1.07
2008-05-17,Masters,Outdoor,Clay,Semifinals,3,Djokovic N.,Nadal R.,Nadal R.,3,2,5125,5435,2.87,1.4
2008-05-25,Grand Slam,Outdoor,Clay,1st Round,5,Djokovic N.,Gremelmayr D.,Djokovic N.,3,64,5225,578,1.01,13.0
2008-05-28,Grand Slam,Outdoor,Clay,2nd Round,5,Djokovic N.,Lopez-Jaen M.A.,Djokovic N.,3,264,5225,140,1.01,15.0
2008-05-30,Grand Slam,Outdoor,Clay,3rd Round,5,Odesnik W.,Djokovic N.,Djokovic N.,106,3,433,5225,15.0,1.01
2008-06-01,Grand Slam,Outdoor,Clay,4th Round,5,Djokovic N.,Mathieu P.H.,Djokovic N.,3,19,5225,1270,1.07,7.5
2008-06-03,Grand Slam,Outdoor,Clay,Quarterfinals,5,Gulbis E.,Djokovic N.,Djokovic N.,80,3,512,5225,8.0,1.07
2008-06-06,Grand Slam,Outdoor,Clay,Semifinals,5,Djokovic N.,Nadal R.,Nadal R.,3,2,5225,5585,4.5,1.2
2008-06-11,International,Outdoor,Grass,2nd Round,3,Karanusic R.,Djokovic N.,Djokovic N.,112,3,417,5225,11.0,1.03
2008-06-12,International,Outdoor,Grass,3rd Round,3,Tipsarevic J.,Djokovic N.,Djokovic N.,39,3,888,5225,6.0,1.11
2008-06-13,International,Outdoor,Grass,Quarterfinals,3,Hewitt L.,Djokovic N.,Djokovic N.,30,3,1010,5225,2.87,1.38
2008-06-14,International,Outdoor,Grass,Semifinals,3,Djokovic N.,Nalbandian D.,Djokovic N.,3,8,5225,2000,1.28,3.5
2008-06-15,International,Outdoor,Grass,The Final,3,Djokovic N.,Nadal R.,Nadal R.,3,2,5225,5585,1.7,2.15
2008-06-23,Grand Slam,Outdoor,Grass,1st Round,5,Berrer M.,Djokovic N.,Djokovic N.,91,3,478,5360,15.0,1.01
2008-06-25,Grand Slam,Outdoor,Grass,2nd Round,5,Safin M.,Djokovic N.,Safin M.,75,3,530,5360,9.0,1.05
2008-07-23,Masters,Outdoor,Hard,2nd Round,3,Dancevic F.,Djokovic N.,Djokovic N.,82,3,519,4945,7.5,1.07
2008-07-24,Masters,Outdoor,Hard,3rd Round,3,Djokovic N.,Soderling R.,Djokovic N.,3,49,4945,815,1.11,6.0
2008-07-26,Masters,Outdoor,Hard,Quarterfinals,3,Murray A.,Djokovic N.,Murray A.,9,3,1730,4945,6.0,1.12
2008-07-30,Masters,Outdoor,Hard,2nd Round,3,Bolelli S.,Djokovic N.,Djokovic N.,50,3,815,5055,7.5,1.07
2008-07-31,Masters,Outdoor,Hard,3rd Round,3,Seppi A.,Djokovic N.,Djokovic N.,39,3,895,5055,6.5,1.1
2008-08-01,Masters,Outdoor,Hard,Quarterfinals,3,Gulbis E.,Djokovic N.,Djokovic N.,53,3,782,5055,4.5,1.2
2008-08-03,Masters,Outdoor,Hard,Semifinals,3,Djokovic N.,Nadal R.,Djokovic N.,3,2,5055,6305,2.75,1.44
2008-08-03,Masters,Outdoor,Hard,The Final,3,Djokovic N.,Murray A.,Murray A.,3,9,5055,1835,1.33,3.4
2008-08-27,Grand Slam,Outdoor,Hard,1st Round,5,Djokovic N.,Clement A.,Djokovic N.,3,78,5105,555,1.01,13.0
2008-08-29,Grand Slam,Outdoor,Hard,2nd Round,5,Kendrick R.,Djokovic N.,Djokovic N.,113,3,433,5105,13.0,1.01
2008-09-01,Grand Slam,Outdoor,Hard,3rd Round,5,Djokovic N.,Cilic M.,Djokovic N.,3,24,5105,1145,1.12,5.5
