dj_pts,dj_rank,opp_pts,opp_rank,dj_win,age,is_outdoor,is_five_sets,5SMA,ATP250,ATP500,Grand Slam,International,International Gold,Masters,Masters 1000,Masters Cup,Carpet,Clay,Grass,Hard,1st Round,2nd Round,3rd Round,4th Round,Quarterfinals,Round Robin,Semifinals,The Final
5130,3,1155,27,1,21,1,0,0.6,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5130,3,1468,16,1,21,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0
5130,3,955,35,1,21,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5130,3,5980,2,1,21,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
5130,3,445,98,1,21,1,0,0.8,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1
5280,3,370,122,0,21,1,0,1.0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
4725,3,1070,29,1,21,1,0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
4725,3,1330,20,1,21,1,0,0.8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4725,3,710,50,1,21,1,0,0.8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4935,3,713,49,1,21,1,0,0.8,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
4935,3,1155,26,1,21,1,0,0.8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
4935,3,1090,24,1,21,1,0,0.8,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1
5125,3,805,39,1,21,1,0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
5125,3,1265,24,1,21,1,0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5125,3,511,78,1,21,1,0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5125,3,5435,2,0,21,1,0,1.0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5225,3,578,64,1,21,1,1,1.0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
5225,3,140,264,1,21,1,1,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0
5225,3,433,106,1,21,1,1,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5225,3,1270,19,1,21,1,1,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
