dj_pts,dj_rank,dj_odds,opp_pts,opp_rank,opp_odds,dj_win,age_c,age_c_sq,is_outdoor,is_five_sets,5SMA,ATP500,Grand Slam,Masters 1000,Masters Cup,Clay,Grass,2nd Round,3rd Round,4th Round,Quarterfinals,Round Robin,Semifinals,The Final
2595,5,1.72,2445,7,2.0,1,-8.046543463381244,64.74686170808343,1,0,0.8,0,0,0,0,1,0,0,0,0,0,0,1,0
2595,5,1.66,1745,15,2.2,1,-8.043805612594113,64.70280873320056,1,0,0.8,0,0,0,0,1,0,0,0,0,0,0,0,1
2720,5,1.28,1053,27,3.5,1,-8.035592060232716,64.57073975847507,1,0,1.0,0,0,1,0,1,0,1,0,0,0,0,0,0
2720,5,1.28,1335,18,3.5,1,-8.032854209445585,64.52674675020765,1,0,1.0,0,0,1,0,1,0,0,1,0,0,0,0,0
2720,5,8.0,4875,2,1.07,0,-8.030116358658454,64.4827687335941,1,0,1.0,0,0,1,0,1,0,0,0,0,1,0,0,0
2735,6,1.07,822,38,7.5,1,-8.01368925393566,64.21921545864387,1,0,0.8,0,0,1,0,1,0,1,0,0,0,0,0,0
2735,6,1.2,1170,23,4.33,1,-8.01368925393566,64.21921545864387,1,0,0.8,0,0,1,0,1,0,0,1,0,0,0,0,0
2735,6,1.33,860,36,3.4,0,-8.010951403148528,64.17534238360737,1,0,0.8,0,0,1,0,1,0,0,0,0,1,0,0,0
2810,6,1.03,341,123,11.0,1,-7.9780971937029435,63.65003483217078,1,1,0.6,0,1,0,0,1,0,0,0,0,0,0,0,0
2810,6,1.01,115,306,13.0,1,-7.975359342915812,63.60635664863454,1,1,0.6,0,1,0,0,1,0,1,0,0,0,0,0,0
2810,6,1.05,337,129,9.0,1,-7.969883641341546,63.51904525652358,1,1,0.8,0,1,0,0,1,0,0,1,0,0,0,0,0
2810,6,1.36,695,51,3.0,1,-7.964407939767284,63.43179383102815,1,1,0.8,0,1,0,0,1,0,0,0,1,0,0,0,0
2810,6,1.53,340,125,2.5,1,-7.958932238193018,63.344602372148124,1,1,0.8,0,1,0,0,1,0,0,0,0,1,0,0,0
2810,6,8.5,5225,2,1.06,0,-7.953456536618756,63.25747087988361,1,1,1.0,0,1,0,0,1,0,0,0,0,0,0,1,0
3010,4,1.1,481,86,6.5,1,-7.939767282683093,63.03990450316486,1,0,0.8,0,0,0,0,0,1,1,0,0,0,0,0,0
3010,4,1.14,745,43,5.0,0,-7.93429158110883,62.952982894054465,1,0,0.8,0,0,0,0,0,1,0,1,0,0,0,0,0
3010,5,1.03,716,47,11.0,1,-7.904175222450377,62.47598594719846,1,1,0.6,0,1,0,0,0,1,0,0,0,0,0,0,0
3010,5,1.04,560,67,9.0,1,-7.898699520876111,62.389454121088505,1,1,0.6,0,1,0,0,0,1,1,0,0,0,0,0,0
3010,5,1.16,6,1065,4.5,1,-7.88227241615332,62.1302184424515,1,1,0.6,0,1,0,0,0,1,0,1,0,0,0,0,0
3010,5,2.1,1330,19,1.72,1,-7.879534565366189,62.08706496680054,1,1,0.8,0,1,0,0,0,1,0,0,1,0,0,0,0
3010,5,1.57,1570,16,2.37,1,-7.876796714579054,62.043926482803386,1,1,0.8,0,1,0,0,0,1,0,0,0,1,0,0,0
3245,3,1.03,223,182,11.0,1,-7.83025325119781,61.31286597789387,1,0,1.0,0,0,0,0,1,0,0,0,0,0,0,0,0
3245,3,1.01,230,176,13.0,0,-7.824777549623544,61.227143701092636,1,0,1.0,0,0,0,0,1,0,1,0,0,0,0,0,0
3200,4,1.25,150,254,3.75,1,-7.789185489390828,60.67141058813664,1,0,0.8,0,0,1,0,0,0,1,0,0,0,0,0,0
3200,4,1.36,1115,26,3.0,1,-7.783709787816566,60.586138060951406,1,0,0.8,0,0,1,0,0,0,0,1,0,0,0,0,0
3200,4,1.66,3290,3,2.2,1,-7.780971937029431,60.543524284839535,1,0,0.8,0,0,1,0,0,0,0,0,0,1,0,0,0
3200,4,2.2,5455,2,1.66,1,-7.775496235455169,60.4583417075775,1,0,0.8,0,0,1,0,0,0,0,0,0,0,0,1,0
3200,4,4.33,7290,1,1.22,1,-7.772758384668034,60.41577290642722,1,0,0.8,0,0,1,0,0,0,0,0,0,0,0,0,1
3700,3,1.16,1325,19,4.5,0,-7.767282683093772,60.33068027908838,1,0,1.0,0,0,1,0,0,0,1,0,0,0,0,0,0
3670,3,1.02,437,95,12.0,1,-7.731690622861056,59.77903988763758,1,1,0.8,0,1,0,0,0,0,0,0,0,0,0,0,0
3670,3,1.08,850,35,7.0,1,-7.7234770704996585,59.65209805853399,1,1,0.8,0,1,0,0,0,0,1,0,0,0,0,0,0
3670,3,1.16,595,57,4.5,1,-7.718001368925393,59.56754513073423,1,1,0.8,0,1,0,0,0,0,0,1,0,0,0,0,0
